epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.795,1.4399,2.04606,1.62196,0.65908,0.60689,0.66382,0.38592,1.37816,1.41529,1.62922,0.00332758,0.00332758,0.00332758
2,418.742,1.31301,1.44336,1.51431,0.61099,0.59876,0.59998,0.30206,1.56953,1.5699,1.88489,0.00660596,0.00660596,0.00660596
3,613.309,1.43303,1.61115,1.61064,0.54512,0.41132,0.44143,0.20709,1.75869,2.05892,2.00702,0.00982934,0.00982934,0.00982934
4,805.854,1.48184,1.68515,1.66038,0.61717,0.56751,0.58737,0.29221,1.69344,1.61982,1.95133,0.0097525,0.0097525,0.0097525
5,1000.38,1.42164,1.559,1.60279,0.66971,0.62551,0.65282,0.35951,1.58489,1.48003,1.8522,0.00967,0.00967,0.00967
6,1197.77,1.38032,1.46672,1.56948,0.74557,0.64543,0.70264,0.39007,1.49299,1.32613,1.73896,0.0095875,0.0095875,0.0095875
7,1393.58,1.32429,1.36398,1.52024,0.70899,0.66273,0.72373,0.41153,1.4889,1.25863,1.7271,0.009505,0.009505,0.009505
8,1588.05,1.30499,1.31493,1.50234,0.73347,0.63416,0.70295,0.39202,1.48528,1.33891,1.74593,0.0094225,0.0094225,0.0094225
9,1781.96,1.27628,1.26811,1.48699,0.74139,0.71751,0.7713,0.46245,1.37251,1.15536,1.59709,0.00934,0.00934,0.00934
10,1978.51,1.24943,1.21177,1.46099,0.78424,0.72364,0.77406,0.46815,1.33744,1.10201,1.57571,0.0092575,0.0092575,0.0092575
11,2175.46,1.22468,1.17423,1.43959,0.79685,0.73676,0.79822,0.48546,1.29454,1.05312,1.56057,0.009175,0.009175,0.009175
12,2368.2,1.19582,1.13088,1.42234,0.80016,0.77406,0.82727,0.50733,1.30794,0.97966,1.5448,0.0090925,0.0090925,0.0090925
